location,source,target,id,fuzzy,context,translator_comments,developer_comments
,weeping willow (Salix babylonica),,,False,Myaamia ETHNOBOTANICAL DATABASE,,
,cook it,cook it,,False,,,aalimiihtoo- (It verb) cook it
,Katydid,,,False,kaahkaahki-,,
,Kaskaskia people,,,False,kaahkaahki-,,
,Shave one's skin,,,False,kaahkilookii-,,
,Glossary,,,False,Glossary,,
,glottolog : miam1252,,,False,metadata,,
,"Language codes ISO 639-3 mia, Miami",,,False,Language codes ISO	ISO 639-3	mia	ISO 639-3	mia,,
,Welcome to the Myaamia-Peewaalia dictionary,,,False,ILDA Website,,
,(10;s delimenter) ,,,False,'-aasi',,
,English,English,,False,,,aakalaahšimaataweenki
,Neck,Neck,,False,'-hkweekan-',,'-hkweekan- (n.inan.dep) Neck'
